Feature,Coefficient,Abs_Coefficient
Latitude,5.501516660593709,5.501516660593709
Longitude,-4.660892115251358,4.660892115251358
risk_prior_log,2.756054254884889,2.756054254884889
kw_large,-1.4394292863539053,1.4394292863539053
num_images,-0.8104487906106024,0.8104487906106024
kw_yellow,-0.7470957538251266,0.7470957538251266
month,0.1839712607668829,0.1839712607668829
prob_img,-0.17345627073299247,0.17345627073299247
kw_queen,0.09398014481116884,0.09398014481116884
note_length,-0.026774485059596273,0.026774485059596273
delay_days,-0.00036213278774724605,0.00036213278774724605
has_image,0.0,0.0
